new_subcategory,family,category,segment
CAPA DE TECIDO,94-CAMA CAPA DE TECIDO,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
COBERTOR,94-CAMA COBERTOR,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
COLCHA,94-CAMA COLCHA,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
FRONHA,94-CAMA FRONHA,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
LENCOL,94-CAMA LENCOL,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
LENCOL,94-CAMA LENCOL C,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
MANTA,94-CAMA MANTA,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
PROTETOR DE COLCHAO,94-CAMA PROTETOR DE COLCHAO,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
PROTETOR DE TRAVESSEIRO,94-CAMA PROTETOR DE TRAVESSEIRO,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
TRAVESSEIRO,94-CAMA TRAVESSEIRO,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
 JOGO AMERICANO,95-MESA JOGO AMERICANO,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
TOALHA DE MESA,95-MESA TOALHA DE MESA,38-CAMA MESA E BANHO,2-CASA E CONSTRUCAO
OUTRO,96-DIVERSOS DECORACAO E JARDIM,39-DIVERSOS DECORACAO E JARDIM,2-CASA E CONSTRUCAO
PLANTAS SEMENTES,96-DIVERSOS DECORACAO E JARDIM,39-DIVERSOS DECORACAO E JARDIM,2-CASA E CONSTRUCAO
VASO PARA PLANTAS,96-DIVERSOS DECORACAO E JARDIM,39-DIVERSOS DECORACAO E JARDIM,2-CASA E CONSTRUCAO
LAMPADA,97-LAMPADAS E LUMINARIAS,40-ILUMINACAO,2-CASA E CONSTRUCAO
LUMINARIA,97-LAMPADAS E LUMINARIAS,40-ILUMINACAO,2-CASA E CONSTRUCAO
CORTINA,98-CORTINAS E PERSIANAS CORTINA,41-TAPETES E CORTINAS,2-CASA E CONSTRUCAO
CAPACHO,99-TAPETES E CAPACHOS,41-TAPETES E CORTINAS,2-CASA E CONSTRUCAO
TAPETE,99-TAPETES E CAPACHOS,41-TAPETES E CORTINAS,2-CASA E CONSTRUCAO
OUTRA FRUTA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
ABACATE,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
ABACAXI,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
AMEIXA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
AMORA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
BANANA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
CAQUI,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
COCO SECO,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
COCO VERDE,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
GOIABA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
GRAVIOLA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
KIWI,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
LARANJA,9-FRUTAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
